Name,Cuisines,Area,Full_Address,AverageCost,Total Reviews,Total Ratings,Cost Category,Features,Testing Features,bag_of_words
Mainland China,"chinese, desserts, beverages",Ballygunge,"3A, Uniworth House, Gurusaday Road, Ballygunge, Kolkata",2000,4665,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese desserts beverages homedelivery takeaway indoorseating expensive
Cafe Coffee Day,"coffee, desserts, fast food, beverages",Elgin,"Court 13, Binany Building, Woodburn Park, Elgin, Kolkata",500,252,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,coffee desserts fast food beverages homedelivery takeaway indoorseating expensive
Thali Gharwali,"north indian, fast food, beverages",Tollygunge,"48/33, Swiss Park, Tollygunge, Kolkata",100,2493,3.7,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,north indian fast food beverages homedelivery takeaway vegonly cheapeats
"Rollick- Ice Creams, Cakes & Desserts","desserts, ice cream, beverages, bakery",Park Street Area,"1A, Russel Street, Park Street Area, Kolkata",200,2366,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,desserts ice cream beverages bakery homedelivery takeaway indoorseating midrange
New Paul Dhaba Delight,"biryani, north indian, mughlai, chinese",Maniktala,"167A, Vivekanand Road, Maniktala, Kolkata",150,4627,3.7,cheapeats,homedelivery   ,homedelivery cheapeats,biryani north indian mughlai chinese homedelivery cheapeats
Zeeshan Restaurant,"north indian, biryani",Park Circus Area,"17, Syed Amir Ali Avenue, Park Circus Area, Kolkata",600,9468,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian biryani homedelivery takeaway indoorseating expensive
Eagle Bites Pizza,"pizza, italian, beverages",Ruby Hospital Area,"24, Sarada Pally, Block D, Near Tagore Park, Ruby Hospital Area, Kolkata",800,17808,3.7,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,pizza italian beverages homedelivery takeaway indoorseating expensive
Oh! Calcutta,"bengali, seafood",Forum Mall,"10/3, 4th Floor, Forum Mall, Elgin Road, Near Elgin, Kolkata",2000,3288,4.4,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali seafood homedelivery takeaway indoorseating expensive
Gusto Pizza,pizza,Kalighat,"18A, Lake Market, Parasar Road, Kalighat, Kolkata",250,2874,3.9,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,pizza homedelivery takeaway midrange
fnpCakes ‘n’ more,"bakery, desserts",Elgin,"13, Lala Lajpat Roy, Sarani, Elgin, Kolkata",150,1985,4.1,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts homedelivery takeaway cheapeats
Ovenstory Pizza,"pizza, fast food, italian",Ballygunge,"29, 1st Lane, Ballygunge, Kolkata",250,1658,4.0,midrange,homedelivery   ,homedelivery midrange,pizza fast food italian homedelivery midrange
Anand Restaurant,"south indian, street food, fast food, pizza, desserts, beverages",Chandni Chowk,"19, C.R Avenue, Near Dalhousie Square Area, Chandni Chowk, Kolkata",500,5937,4.3,expensive,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating expensive,south indian street food fast food pizza desserts beverages homedelivery takeaway vegonly indoorseating expensive
Faasos - Wraps & Rolls,"fast food, rolls, wraps, shake",Ballygunge,"29, 1st Lane, Ballygunge, Kolkata",200,3105,4.1,midrange,homedelivery   ,homedelivery midrange,fast food rolls wraps shake homedelivery midrange
Just Baked,"bakery, desserts, fast food, beverages",Paddapukur,"29, Beltala Road, Paddapukur, Kolkata",50,35,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts fast food beverages homedelivery takeaway cheapeats
Burger In Law-The Delivery Kitchen,"burger, fast food, desserts, beverages",Kasba,"15, Swinhoe Lane, Kasba, Kolkata",150,3893,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,burger fast food desserts beverages homedelivery cheapeats
Bhooter Raja Dilo Bar,"bengali, bangladeshi, seafood, desserts",Jadavpur,"174, 175 & 179, Block C, Raja S.C. Mallick Road, Jadavpur, Kolkata",450,8453,3.8999999999999995,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali bangladeshi seafood desserts homedelivery takeaway indoorseating expensive
Apna Dhaba,north indian,Bhawanipur,"Shop 13, Harish Mukherjee Road, Bhawanipur, Kolkata",400,30091,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian homedelivery takeaway indoorseating midrange
Pabrai's Fresh And Naturelle Ice Cream,"ice cream, desserts, shake",Jodhpur Park,"1/428, Ward 93, Gariahat Road, Jodhpur Park, Kolkata",200,924,4.4,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,ice cream desserts shake homedelivery takeaway indoorseating midrange
Govinda's,"north indian, south indian, chinese, beverages, desserts",Ballygunge,"22, Iskcon House, Gurusaday Road, Ballygunge, Kolkata",750,3230,4.1,expensive,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating expensive,north indian south indian chinese beverages desserts homedelivery takeaway vegonly indoorseating expensive
Krazzy For Waffle,"bakery, ice cream, desserts, waffle, beverages, shake",Paddapukur,"33a, Sarat Bose Road, Paddapukur, Kolkata",500,1036,3.5,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bakery ice cream desserts waffle beverages shake homedelivery takeaway indoorseating expensive
The Super Snack Bar,"south indian, fast food",Loudon Street Area,"12, Dr U.N. Brahmachari Street, Near Belleveu Hospital, Loudon Street Area, Kolkata",400,1010,4.0,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,south indian fast food homedelivery takeaway vegonly indoorseating midrange
Anokha Baghicha,"north indian, biryani, chinese",Park Circus Area,"173, Park Street, Park Circus Area, Kolkata",700,21471,3.9,expensive,homedelivery takeaway  ,homedelivery takeaway expensive,north indian biryani chinese homedelivery takeaway expensive
Sufi Palace,"north indian, chinese, mughlai, seafood, biryani",College Street,"113, Mahatma Gandhi Road, College Street, Kolkata",700,8243,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese mughlai seafood biryani homedelivery takeaway indoorseating expensive
Jashoda Mistanna Bhandar,"mishti, fast food",Taltala,"50/1, S.N  Banerjee Road, Taltala, Kolkata",100,4336,4.3,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,mishti fast food homedelivery takeaway vegonly cheapeats
Tandoor Park,"north indian, chinese, bengali, fast food",Dhakuria,"28/4, Gariahat Road, Opposite Jodhpur Park Post Office, Dhakuria, Kolkata",900,9605,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese bengali fast food homedelivery takeaway indoorseating expensive
Haji Shaheb,"biryani, north indian, kebab, rolls, fast food",Bhawanipur,"33, Ashutosh Mukherjee Road, Bhawanipur, Kolkata",450,8877,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani north indian kebab rolls fast food homedelivery takeaway indoorseating expensive
Gupta Brothers,"mishti, fast food, north indian, chinese, sandwich",Park Street Area,"12B/2, Ground Floor, Park Street Area, Kolkata",350,1807,3.7,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,mishti fast food north indian chinese sandwich homedelivery takeaway indoorseating midrange
The Perfect Match,"north indian, chinese",Bhawanipur,"31b, Ramesh Mitra Road, Bhawanipur, Kolkata",200,3489,4.2,midrange,homedelivery   ,homedelivery midrange,north indian chinese homedelivery midrange
The 6 Russel Street,"rolls, fast food, chinese",Theatre Road,"6, Anandilal Poddar Sarani, Ward 63, Theatre Road, Kolkata",150,7804,3.9,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,rolls fast food chinese homedelivery takeaway cheapeats
Ashraf Biryani Centre,"biryani, street food",Topsia,"14, Kustia Road, Topsia, Kolkata",250,2400,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani street food homedelivery takeaway indoorseating midrange
The Cake Xpress,"bakery, desserts, beverages, shake",Minto Park,"8/1/3, Loudon Street, Near Shushila Devi Birla School, Minto Park, Kolkata",50,401,3.7,cheapeats,homedelivery   ,homedelivery cheapeats,bakery desserts beverages shake homedelivery cheapeats
Sharma Dhaba,"north indian, mughlai, chinese, rolls, kebab, beverages",Ballygunge,"17/1B, Ballygunge Circular Road, Near Ballygunge Maidan Camp, Ballygunge, Kolkata",700,10885,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian mughlai chinese rolls kebab beverages homedelivery takeaway indoorseating expensive
Petuk Bangali,"bengali, north indian, bangladeshi",Maniktala,"20, Vidyasagar Street, Maniktala, Kolkata",250,955,4.0,midrange,homedelivery   ,homedelivery midrange,bengali north indian bangladeshi homedelivery midrange
Sweet Truth - Cake and Desserts,"bakery, desserts",Alipore,"Premises 2, Ground Floor, Agrawal House, Ward 75, Munshi Premchand Road, Alipore, Kolkata",300,265,4.1,midrange,homedelivery   ,homedelivery midrange,bakery desserts homedelivery midrange
Bedouin - Sher-E-Bengal,"chinese, north indian, bengali, mughlai",Gariahat,"200/2B, Rash Behari Avenue, Gariahat, Kolkata",600,2344,4.199999999999999,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian bengali mughlai homedelivery takeaway indoorseating expensive
Shawarma Nation,"lebanese, fast food",Bhawanipur,"130/1, Bakul Bagan Road, Bhawanipur, Kolkata",250,75,4.0,midrange,homedelivery   ,homedelivery midrange,lebanese fast food homedelivery midrange
Chez - Pan Oriental Kitchen,"chinese, momos, tibetan, thai",Southern Avenue,"16/5, Hemanta Mukherjee Sarani, Southern Avenue, Kolkata",800,5367,4.2,expensive,homedelivery   indoorseating,homedelivery indoorseating expensive,chinese momos tibetan thai homedelivery indoorseating expensive
Dimpi,"north indian, south indian, chinese, biryani, desserts, beverages",Shyam Bazar,"128/8A, Bidhan Sarani, Five Point Crossing, Shyam Bazar, Kolkata",400,6919,4.0,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,north indian south indian chinese biryani desserts beverages homedelivery takeaway vegonly indoorseating midrange
Banana Leaf @ Komala Vilas,"south indian, chinese, beverages, shake",Lake Market Area,"75, Rashi Behari Avenue, Lake Market Area, Kolkata",500,2695,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,south indian chinese beverages shake homedelivery takeaway indoorseating expensive
Shree Ram Dhaba,north indian,Bara Bazar,"147/1B, Mahatma Gandhi Road, Bara Bazar, Kolkata",200,3912,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian homedelivery takeaway indoorseating midrange
Punjabi Paratha,"north indian, fast food, shake, beverages, desserts",Bhawanipur,"1/1A, Ganga Prasad Mukherjee Road, Opposite Canara Bank, Bhawanipur, Kolkata",100,2577,4.3,cheapeats,homedelivery   ,homedelivery cheapeats,north indian fast food shake beverages desserts homedelivery cheapeats
Arun Tea Stall,"street food, tea",Theatre Road,"25/1, Shakespeare Sarani, Theatre Road, Kolkata",100,7189,4.1,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,street food tea homedelivery takeaway vegonly cheapeats
Food@99,"pizza, sandwich, fast food, street food, beverages",Topsia,"15A, 4th Floor, Hossain Manzil, GJ Khan Road, Tiljala, Topsia, Kolkata",200,731,3.9,midrange,homedelivery   ,homedelivery midrange,pizza sandwich fast food street food beverages homedelivery midrange
Chili's Grill & Bar,"mexican, italian, american, tex-mex, seafood, beverages",Quest Mall,"33, 4th Floor, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",1200,12301,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,mexican italian american seafood beverages homedelivery takeaway indoorseating expensive
Alishan Biryani,biryani,Entally,"P-119, CIT Road, Entally, Kolkata",200,4841,3.6000000000000005,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani homedelivery takeaway indoorseating midrange
Peter Cat,"north indian, continental, mughlai, desserts, fast food, beverages",Park Street Area,"18A, Park Street, Park Street Area, Kolkata",1000,20150,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian continental mughlai desserts fast food beverages homedelivery takeaway indoorseating expensive
Zafran,biryani,Entally,"28/2C, Hare Krishna Konar Road, Entally, Kolkata",400,3315,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani homedelivery takeaway indoorseating midrange
Dosa Coffee,"south indian, beverages",Elgin,"11/1, Ideal Plaza, Sarat Bose Road, Elgin, Kolkata",400,2020,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,south indian beverages homedelivery takeaway indoorseating midrange
New Noodle King,"chinese, seafood, momos",Park Street Area,"51, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata",400,1293,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese seafood momos homedelivery takeaway indoorseating midrange
Krazy For Chocolates,"bakery, beverages, ice cream, waffle, fast food",Minto Park,"6, The Regency, Hungerford Street, Minto Park, Kolkata",500,1120,4.099999999999999,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bakery beverages ice cream waffle fast food homedelivery takeaway indoorseating expensive
Bombay Shiv Sagar,"south indian, north indian, fast food, chinese, shake",Pantaloons,"1st Floor, Pantaloons Building, Block B, 22, Camac Street Area, Kolkata",650,5715,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,south indian north indian fast food chinese shake homedelivery takeaway indoorseating expensive
New Madras Tiffin,"south indian, street food, chinese, beverages",Hatibagan,"138, Bidhan Sarani, Hatibagan, Kolkata",400,3447,4.4,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,south indian street food chinese beverages homedelivery takeaway vegonly indoorseating midrange
Land Of Cakes ,bakery,Taltala,"69A, Lenin Sarani, 3rd Floor, Taltala, Kolkata",350,173,4.4,midrange,homedelivery   ,homedelivery midrange,bakery homedelivery midrange
Bachan's Dhaba,"north indian, biryani, chinese, mughlai, fast food, beverages",Kalighat,"T 39A, Rash Behari Avenue, Kalighat, Kolkata",500,11066,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian biryani chinese mughlai fast food beverages homedelivery takeaway indoorseating expensive
Hotel Sathi,"north indian, biryani, chinese, rolls, mughlai",Kalighat,"39B, Rash Behari Avenue, Kalighat, Kolkata",500,33636,3.6999999999999997,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian biryani chinese rolls mughlai homedelivery takeaway indoorseating expensive
